LAST SEEN   TYPE      REASON                       OBJECT                                         MESSAGE
3h5m        Normal    ScalingReplicaSet            deployment/authentication-operator             Scaled up replica set authentication-operator-c9dc4c844 from 0 to 1
3h5m        Warning   FailedCreate                 replicaset/authentication-operator-c9dc4c844   Error creating: pods "authentication-operator-c9dc4c844-" is forbidden: autoscaling.openshift.io/ManagementCPUsOverride the cluster does not have any nodes
3h5m        Warning   FailedScheduling             pod/authentication-operator-c9dc4c844-k75sd    0/1 nodes are available: 1 node(s) had untolerated taint {node.cloudprovider.kubernetes.io/uninitialized: true}. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
3h5m        Normal    SuccessfulCreate             replicaset/authentication-operator-c9dc4c844   Created pod: authentication-operator-c9dc4c844-k75sd
3h3m        Normal    Scheduled                    pod/authentication-operator-c9dc4c844-k75sd    Successfully assigned openshift-authentication-operator/authentication-operator-c9dc4c844-k75sd to ip-10-0-120-180.us-east-2.compute.internal
3h3m        Normal    AddedInterface               pod/authentication-operator-c9dc4c844-k75sd    Add eth0 [10.128.0.28/23] from ovn-kubernetes
3h3m        Normal    Pulling                      pod/authentication-operator-c9dc4c844-k75sd    Pulling image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:ed9c7f4f1967061f7967eb06cf5907e2c9fdf4d2da93165642b16182e17924ed"
3h3m        Normal    Pulled                       pod/authentication-operator-c9dc4c844-k75sd    Successfully pulled image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:ed9c7f4f1967061f7967eb06cf5907e2c9fdf4d2da93165642b16182e17924ed" in 10.22s (10.22s including waiting). Image size: 518759306 bytes.
3h3m        Normal    LeaderElection               lease/cluster-authentication-operator-lock     authentication-operator-c9dc4c844-k75sd_edb8a119-7da5-4715-8914-120b44560337 became leader
3h3m        Normal    FeatureGatesInitialized      deployment/authentication-operator             FeatureGates updated to featuregates.Features{Enabled:[]v1.FeatureGateName{"AWSClusterHostedDNS", "AWSClusterHostedDNSInstall", "AWSDedicatedHosts", "AWSDualStackInstall", "AWSServiceLBNetworkSecurityGroup", "AdditionalRoutingCapabilities", "AdminNetworkPolicy", "AlibabaPlatform", "AutomatedEtcdBackup", "AzureClusterHostedDNSInstall", "AzureDedicatedHosts", "AzureDualStackInstall", "AzureMultiDisk", "AzureWorkloadIdentity", "BootcNodeManagement", "BuildCSIVolumes", "CBORServingAndStorage", "CPMSMachineNamePrefix", "ClientsAllowCBOR", "ClientsPreferCBOR", "ClusterAPIInstallIBMCloud", "ClusterMonitoringConfig", "ClusterVersionOperatorConfiguration", "ConsolePluginContentSecurityPolicy", "DNSNameResolver", "DualReplica", "DyanmicServiceEndpointIBMCloud", "DynamicResourceAllocation", "EtcdBackendQuota", "EventTTL", "Example", "ExternalOIDC", "ExternalOIDCWithUIDAndExtraClaimMappings", "GCPClusterHostedDNS", "GCPClusterHostedDNSInstall", "GCPCustomAPIEndpoints", "GCPCustomAPIEndpointsInstall", "GCPDualStackInstall", "GatewayAPI", "GatewayAPIController", "HighlyAvailableArbiter", "ImageModeStatusReporting", "ImageStreamImportMode", "ImageVolume", "IngressControllerDynamicConfigurationManager", "InsightsConfig", "InsightsOnDemandDataGather", "IrreconcilableMachineConfig", "KMSEncryptionProvider", "KMSv1", "MachineAPIMigration", "MachineConfigNodes", "ManagedBootImages", "ManagedBootImagesAWS", "ManagedBootImagesAzure", "ManagedBootImagesCPMS", "ManagedBootImagesvSphere", "MaxUnavailableStatefulSet", "MetricsCollectionProfiles", "MinimumKubeletVersion", "MixedCPUsAllocation", "MultiDiskSetup", "MutatingAdmissionPolicy", "NetworkDiagnosticsConfig", "NetworkLiveMigration", "NetworkSegmentation", "NewOLM", "NewOLMCatalogdAPIV1Metas", "NewOLMOwnSingleNamespace", "NewOLMPreflightPermissionChecks", "NewOLMWebhookProviderOpenshiftServiceCA", "NoRegistryClusterOperations", "NutanixMultiSubnets", "OVNObservability", "OpenShiftPodSecurityAdmission", "PinnedImages", "PreconfiguredUDNAddresses", "ProcMountType", "RouteAdvertisements", "RouteExternalCertificate", "SELinuxMount", "ServiceAccountTokenNodeBinding", "SignatureStores", "SigstoreImageVerification", "SigstoreImageVerificationPKI", "StoragePerformantSecurityPolicy", "TranslateStreamCloseWebsocketRequests", "UpgradeStatus", "UserNamespacesPodSecurityStandards", "UserNamespacesSupport", "VSphereConfigurableMaxAllowedBlockVolumesPerNode", "VSphereHostVMGroupZonal", "VSphereMultiDisk", "VSphereMultiNetworks", "VolumeAttributesClass", "VolumeGroupSnapshot"}, Disabled:[]v1.FeatureGateName{"BootImageSkewEnforcement", "ClusterAPIInstall", "ClusterAPIMachineManagementVSphere", "EventedPLEG", "Example2", "ExternalSnapshotMetadata", "MachineAPIOperatorDisableMachineHealthCheckController", "MultiArchInstallAzure", "ShortCertRotation", "VSphereMixedNodeEnv"}}
